"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Uzbekistan,,860,Country/Area,5500,6264.06,6470.06,6667.89,6864.76,7066.46,7277.34,7500.31,7736.86,7987.25,8250.72,8526.3,8813.62,9113.63,9428.91,9762.82,10116.87,10493.44,10889.5,11294.67,11694.84,12080.31,12446.44,12796.98,13140.8,13491.11,13857.47,14242.77,14643.88,15057.23,15476.93,15898.76,16321.69,16747.43,17177.66,17615.04,18061.28,18515.58,18976.41,19443.89,19918.12,20398.35,20884.86,21375.11,21861.97,22336.2,22791.03,23225.3,23640.49,24036.02,24412.05,24769.96,25108.55,25431.12,25749.11,26077.61,26427.79,26804.07,27204.71,27626.98,28065.47,28515.91,28977.01,29449.42,29932.63,30426.39,30929.56,31441.75,31959.77,32476.23,32981.72,33469.2
Southern Asia,,5501,Subregion,921,493338.55,501460.11,510026.16,519036.18,528491.02,538392.59,548744.03,559549.77,570815.05,582545.64,594746.44,607420.08,620565.76,634178.55,648251.18,662778.04,677768.55,693226.36,709134.77,725471.02,742225.23,759389.24,776987.01,795080.69,813753.04,833065.34,853026.51,873622.94,894862.55,916747.99,939270.83,962426.54,986184.4,1010473.3,1035201.05,1060289.5,1085698.14,1111402.33,1137358.47,1163524.37,1189861.41,1216334.64,1242913.72,1269571.54,1296284.47,1323030.44,1349771.12,1376482.68,1403174.54,1429868.83,1456569.46,1483272.11,1509928.85,1536447.37,1562709.13,1588623.89,1614165.44,1639339.65,1664131.42,1688535.02,1712555.45,1736167.12,1759387.93,1782321.56,1805108.3,1827847.3,1850569.59,1873241.08,1895813.98,1918211.4,1940369.61
Afghanistan,,4,Country/Area,5501,7752.12,7840.15,7936,8039.68,8151.32,8270.99,8398.87,8535.16,8680.1,8833.95,8996.97,9169.41,9351.44,9543.2,9744.77,9956.32,10174.84,10399.94,10637.06,10893.77,11173.65,11475.45,11791.22,12108.96,12412.96,12689.16,12943.09,13171.29,13341.2,13411.06,13356.5,13171.68,12882.52,12537.73,12204.31,11938.2,11736.18,11604.54,11618.01,11868.87,12412.31,13299.02,14485.54,15816.6,17075.73,18110.66,18853.44,19357.13,19737.77,20170.85,20779.96,21606.99,22600.77,23680.87,24726.69,25654.27,26433.06,27100.54,27722.28,28394.81,29185.51,30117.41,31161.38,32269.59,33370.8,34413.6,35383.03,36296.11,37171.92,38041.76,38928.34
Bangladesh,,50,Country/Area,5501,37894.67,38706.4,39489.86,40292.41,41149.83,42086.31,43113.92,44233.22,45434.54,46700.57,48013.51,49362.83,50752.15,52202.01,53741.72,55385.11,57157.65,59034.25,60918.45,62679.77,64232.49,65531.64,66625.71,67637.54,68742.22,70066.31,71652.39,73463.59,75450.03,77529.04,79639.5,81767.52,83932.13,86142.49,88416.53,90764.18,93187.59,95671.16,98186.35,100695.5,103171.96,105599.13,107983.71,110350.64,112737.68,115169.93,117649.93,120160.57,122682.82,125189.66,127657.86,130088.71,132478.08,134791.6,136986.43,139035.51,140921.15,142660.38,144304.16,145924.8,147575.43,149273.13,151005.73,152761.41,154517.39,156256.29,157977.15,159685.42,161376.71,163046.17,164689.38
Bhutan,,64,Country/Area,5501,176.8,180.81,184.76,188.78,193.01,197.46,202.19,207.2,212.42,217.81,223.28,228.85,234.55,240.53,246.96,253.99,261.66,269.94,278.73,287.89,297.31,306.96,316.82,326.99,337.49,348.4,359.72,371.42,383.32,395.19,406.88,418.11,428.94,439.82,451.47,464.26,478.68,494.31,509.53,522.17,530.8,534.64,534.53,532.59,531.91,534.63,541.47,551.71,564.38,577.89,591.01,603.64,616.03,627.84,638.81,648.74,657.4,664.87,671.61,678.33,685.5,693.3,701.58,710.24,719.05,727.89,736.71,745.56,754.4,763.09,771.61
India,,356,Country/Area,5501,376325.2,382376.95,388799.08,395544.37,402578.59,409880.61,417442.81,425270.71,433380.98,441798.57,450547.68,459642.17,469077.19,478825.6,488848.14,499123.33,509631.51,520400.58,531513.83,543084.33,555189.8,567868.02,581087.26,594770.14,608802.6,623102.9,637630.09,652408.77,667499.82,682995.35,698952.84,715385,732239.5,749428.96,766833.41,784360.01,801975.25,819682.1,837468.94,855334.68,873277.8,891273.2,909307.02,927403.87,945601.83,963922.59,982365.25,1000900.03,1019483.59,1038058.15,1056575.55,1075000.09,1093317.19,1111523.15,1129623.47,1147609.92,1165486.29,1183209.47,1200669.76,1217726.22,1234281.16,1250287.94,1265780.24,1280842.12,1295600.77,1310152.39,1324517.25,1338676.78,1352642.28,1366417.76,1380004.39
Iran (Islamic Republic of),,364,Country/Area,5501,17119.26,17516.67,17933.5,18369.05,18822.75,19294.14,19782.82,20288.54,20811.14,21350.57,21906.91,22480.37,23071.31,23680.25,24307.86,24954.87,25624.38,26317.78,27032.58,27764.93,28513.87,29281.58,30075.3,30905.72,31786.48,32729.77,33733.98,34803.04,35960.81,37237.15,38650.24,40199.91,41869.23,43636.84,45472.79,47347.2,49260.26,51193.78,53077.31,54822.01,56366.21,57679.03,58780.38,59723.76,60590.61,61442.66,62294.92,63136.31,63971.84,64800.88,65623.4,66449.11,67284.8,68122.95,68951.28,69762.35,70554.76,71336.48,72120.61,72924.83,73762.52,74634.96,75539.88,76481.96,77465.77,78492.21,79563.99,80673.89,81800.2,82913.89,83992.95
Maldives,,462,Country/Area,5501,73.72,74.22,75.19,76.49,78.02,79.7,81.51,83.42,85.43,87.59,89.87,92.33,94.9,97.54,100.18,102.71,105.13,107.48,109.89,112.58,115.69,119.3,123.35,127.7,132.1,136.42,140.56,144.63,148.77,153.28,158.27,163.82,169.85,176.26,182.85,189.54,196.26,203.02,209.79,216.5,223.16,229.74,236.27,242.6,248.58,254.14,259.18,263.84,268.45,273.52,279.4,286.31,294.19,302.68,311.27,319.6,327.49,335.17,343.45,353.39,365.73,380.49,397.23,415.59,435.02,454.91,475.51,496.4,515.7,530.96,540.54
Nepal,,524,Country/Area,5501,8483.32,8663.6,8834.7,8999.19,9159.32,9316.92,9473.41,9629.87,9786.98,9945.21,10105.06,10267.26,10433.15,10604.62,10783.96,10972.91,11172.53,11382.97,11603.92,11834.66,12074.63,12323.98,12583.14,12852.21,13131.26,13420.37,13719.47,14028.54,14347.65,14676.93,15016.41,15367.23,15729.43,16100.62,16477.49,16858.32,17239.68,17623.7,18020.76,18445.02,18905.48,19405.51,19938.32,20489.97,21040.9,21576.07,22090.35,22584.77,23057.88,23509.97,23941.1,24347.11,24725.63,25080.88,25419.34,25744.5,26066.69,26382.59,26666.58,26883.53,27013.21,27041.22,26989.16,26916.8,26905.98,27015.03,27263.43,27632.68,28095.71,28608.72,29136.81
Pakistan,,586,Country/Area,5501,37542.37,37992.88,38516.51,39109.09,39767.17,40488.03,41269.72,42111.01,43011.32,43970.56,44988.69,46065.23,47198.89,48387.29,49627.62,50917.98,52260.18,53655.78,55102.69,56598.15,58142.06,59734.48,61381.98,63099.4,64906,66816.88,68834.32,70958.17,73197.25,75561.13,78054.35,80680.46,83431.6,86285.94,89213.71,92191.51,95215.38,98285.76,101389.6,104512.87,107647.92,110778.66,113911.13,117086.68,120362.76,123776.84,127349.29,131057.43,134843.23,138624.63,142343.58,145978.41,149549.7,153093.37,156664.7,160304.01,164022.63,167808.11,171648.98,175525.61,179424.64,183340.17,187280.13,191260.8,195305.01,199426.95,203631.36,207906.21,212228.29,216565.32,220892.33
Sri Lanka,,144,Country/Area,5501,7971.1,8108.43,8256.56,8417.11,8591.02,8778.44,8978.77,9190.65,9412.14,9640.82,9874.48,10111.64,10352.18,10597.52,10849.98,11110.83,11380.67,11657.65,11937.61,12214.95,12485.74,12747.83,13002.23,13252.03,13501.93,13755.14,14012.89,14273.5,14533.69,14788.87,15035.84,15272.82,15501.21,15724.64,15948.5,16176.28,16408.86,16643.96,16878.19,17106.75,17325.77,17535.73,17736.83,17924.83,18094.47,18242.92,18367.29,18470.9,18564.6,18663.29,18777.61,18911.73,19062.48,19224.04,19387.15,19544.99,19695.98,19842.04,19983.98,20123.51,20261.74,20398.5,20532.6,20663.05,20788.51,20908.02,21021.18,21128.03,21228.76,21323.73,21413.25
EASTERN AND SOUTH-EASTERN ASIA,,1832,SDG region,1828,842669.34,863806.46,882455.56,899581.58,915966.55,932210.42,948722.71,965730.44,983300.55,1001377.39,1019894.87,1038896.53,1058640.33,1079643.46,1102555.09,1127782.03,1155500.4,1185418.29,1216874.26,1248933.29,1280852.79,1312481.7,1343819.87,1374465.87,1403988.35,1432113.69,1458649.51,1483728.77,1507833.12,1531661.64,1555767.5,1580137.05,1604728.22,1630014.4,1656565.31,1684698.04,1714716.74,1746285.15,1778281.21,1809157.72,1837799,1863781.65,1887406.62,1909174.85,1929908.97,1950219.95,1970233.24,1989767.4,2008775.81,2027138.83,2044789.22,2061763.4,2078182.43,2094161.75,2109844.45,2125348.4,2140698.11,2155914.75,2171101.65,2186376.01,2201806.67,2217429.53,2233184.33,2248916.69,2264410.5,2279489.62,2294101.3,2308227.73,2321769.76,2334622.97,2346709.48
Eastern Asia,,906,Subregion,1832,677535.24,694908.94,709512.82,722324.82,734139.48,745568.56,757032.71,768769.45,780855.66,793245.06,805880.88,818816.02,832318.18,846914.91,863265.98,881787.78,902669.5,925627.64,950000.7,974850.13,999435.11,1023594.6,1047342.06,1070328.6,1092192.16,1112702.81,1131702.4,1149295.76,1165870.43,1181993.09,1198125.83,1214228.83,1230302.46,1246883.13,1264634.92,1283950.28,1305150.66,1327899.73,1351113.96,1373287.36,1393334.81,1410859.99,1426166.87,1439731.76,1452336.53,1464564.64,1476529.25,1488065.4,1499161.03,1509745.03,1519781.3,1529313.79,1538440.48,1547238.62,1555797.78,1564192.32,1572445.29,1580576.65,1588648.76,1596729.78,1604859.43,1613052.69,1621273.74,1629442.26,1637445.26,1645183.92,1652634.66,1659767.97,1666471.32,1672611.12,1678089.63
China,9,156,Country/Area,906,554419.27,569909.11,582576.5,593365.88,603052.32,612241.55,621363.23,630677.65,640295.78,650212.73,660408.05,670952.7,682102.65,694339.08,708254.6,724218.97,742414.89,762581.18,784074.72,805985.94,827601.39,848759.71,869485.96,889485.37,908464.21,926240.89,942685.41,957891.27,972205.44,986132.21,1000089.23,1014022.21,1027948.99,1042431.4,1058171.97,1075589.36,1095014.11,1116095.48,1137724.23,1158357.39,1176883.68,1192897.28,1206711.24,1218817.06,1230020.03,1240920.54,1251636.18,1261996.02,1271982.35,1281514.83,1290550.77,1299129.75,1307352.26,1315303.52,1323084.64,1330776.38,1338408.64,1345993.89,1353569.48,1361169.41,1368810.6,1376497.63,1384206.41,1391883.34,1399453.97,1406847.87,1414049.35,1421021.79,1427647.79,1433783.69,1439323.77
"China, Hong Kong SAR",10,344,Country/Area,906,1974,2057.74,2150.1,2250.71,2358.71,2472.67,2590.56,2709.85,2827.56,2940.53,3046.05,3142.57,3230.3,3311.46,3389.56,3467.22,3545.85,3624.97,3703.18,3778.18,3848.92,3913.6,3974.19,4037.79,4113.99,4208.96,4326.33,4462.4,4607.03,4745.88,4868.74,4971.69,5058.05,5133.71,5207.84,5287.02,5373.45,5464.71,5557.38,5646.28,5727.94,5800.04,5864.75,5928.34,5999.62,6084.23,6185.58,6299.91,6417,6522.46,6606.33,6664.78,6701.77,6724.69,6744.56,6769.58,6802.08,6840.02,6881.86,6924.64,6966.32,7006.6,7046.85,7088.78,7134.67,7185.99,7243.54,7306.32,7371.73,7436.16,7496.99
"China, Macao SAR",11,446,Country/Area,906,196.47,200.49,201.27,199.29,195.13,189.46,183.03,176.75,171.53,168.28,167.8,170.47,176.19,184.25,193.56,203.22,213.19,223.42,233,240.84,246.19,248.75,248.77,246.95,244.29,241.63,239.07,236.67,235.18,235.44,238.09,243.37,251.15,260.92,271.91,283.49,295.6,308.18,320.77,332.78,343.82,353.62,362.31,370.2,377.81,385.52,393.38,401.35,409.62,418.39,427.77,437.93,448.81,460.16,471.6,482.86,493.8,504.5,515.23,526.4,538.22,550.83,564.04,577.37,590.21,602.09,612.82,622.58,631.63,640.45,649.34
"China, Taiwan Province of China",12,158,Country/Area,906,7602.36,7930.65,8250.8,8565.44,8877.42,9189.97,9506.26,9829.71,10163.8,10511.79,10876.15,11257.77,11655.38,12065.31,12482.18,12901.15,13322.04,13743.22,14156.75,14552.76,14924.46,15268.16,15586.15,15885.23,16175.6,16464.93,16754.74,17043.4,17331.48,17618.94,17905.46,18191.73,18477.5,18760.24,19036.46,19303.4,19560.16,19806.74,20042.36,20266.42,20478.52,20679.07,20868.15,21044.7,21207.42,21356.03,21488.99,21608.31,21721.51,21838.64,21966.53,22108.72,22262.3,22419.79,22570.23,22705.72,22823.85,22927.22,23019.04,23104.54,23187.56,23268.76,23346.9,23421.58,23491.98,23557.47,23618.2,23674.55,23726.46,23773.88,23816.78
Dem. People's Republic of Korea,,408,Country/Area,906,10549.47,10248.5,10049.02,9957.24,9972.43,10087,10285.94,10547.39,10843.98,11145.15,11424.19,11665.59,11871.73,12065.47,12282.42,12547.52,12864.95,13222.7,13609.98,14010.34,14410.39,14809.52,15207.77,15593.35,15952.08,16274.74,16554.74,16796.57,17015.98,17235.67,17472.14,17731.23,18008.57,18298.21,18590.14,18877.23,19156.79,19431.99,19708.32,19993.76,20293.06,20609.15,20937.41,21265.83,21577.98,21862.3,22113.43,22335.26,22536.75,22731.47,22929.08,23132.98,23339.45,23542.43,23732.74,23904.17,24054.87,24188.33,24310.14,24428.34,24548.84,24673.39,24800.64,24929.5,25057.79,25183.83,25307.67,25429.82,25549.61,25666.16,25778.82
Japan,,392,Country/Area,906,82802.08,84316.27,85659.44,86869.98,87980.57,89018.26,90004.18,90953.81,91877.64,92782.24,93673.61,94560.71,95458.52,96389.42,97379.4,98447.01,99596.08,100822.28,102124,103496.03,104929.26,106427.1,107976.03,109528.51,111022.69,112413.36,113679.19,114827.83,115879.22,116867.36,117816.94,118732.84,119605.25,120427.64,121189.27,121883.48,122509.12,123072.72,123584.52,124058.52,124505.24,124929.76,125331.3,125707.41,126053.13,126365.49,126644.1,126892.75,127117.44,127326.06,127524.17,127713.82,127893.08,128058.37,128204.18,128326.12,128422.74,128494.05,128538.64,128555.2,128542.35,128498.97,128423.57,128314.19,128168.63,127985.14,127763.27,127502.73,127202.19,126860.3,126476.46
Mongolia,,496,Country/Area,906,780.2,793.54,807.92,823.07,838.79,855.1,872.16,890.28,909.89,931.49,955.51,982.18,1011.33,1042.39,1074.52,1107.12,1139.96,1173.19,1207.1,1242.21,1278.82,1317.04,1356.67,1397.31,1438.42,1479.65,1520.87,1562.21,1603.91,1646.29,1689.62,1733.48,1777.73,1823.21,1871.09,1921.89,1976.31,2033.35,2089.71,2141.01,2184.14,2217.92,2243.5,2263.2,2280.48,2298.02,2316.57,2335.74,2355.67,2376.23,2397.42,2419.59,2443.26,2468.77,2496.39,2526.43,2558.85,2593.82,2631.9,2673.79,2719.9,2770.36,2824.7,2881.78,2940.11,2998.43,3056.36,3113.79,3170.21,3225.17,3278.29
Republic of Korea,,410,Country/Area,906,19211.39,19452.64,19817.78,20293.2,20864.1,21514.56,22227.34,22984.01,23765.5,24552.85,25329.52,26084.03,26812.08,27517.54,28209.74,28895.56,29572.55,30236.69,30891.97,31543.83,32195.68,32850.73,33506.52,34154.09,34780.89,35378.66,35942.03,36475.43,36992.19,37511.3,38045.61,38602.29,39175.22,39747.79,40296.23,40804.41,41265.12,41686.57,42086.67,42491.2,42918.42,43373.15,43848.22,44335.04,44820.07,45292.52,45751.02,46196.06,46620.7,47016.95,47379.24,47706.23,47999.55,48260.9,48493.43,48701.07,48880.45,49034.81,49182.46,49347.45,49545.64,49786.15,50060.64,50345.72,50607.9,50823.09,50983.45,51096.41,51171.7,51225.32,51269.18
South-Eastern Asia,,920,Subregion,1832,165134.1,168897.52,172942.74,177256.77,181827.07,186641.85,191690,196960.99,202444.88,208132.33,214013.99,220080.51,226322.15,232728.54,239289.12,245994.25,252830.9,259790.65,266873.56,274083.16,281417.68,288887.1,296477.81,304137.27,311796.2,319410.87,326947.12,334433.01,341962.69,349668.55,357641.67,365908.22,374425.76,383131.28,391930.39,400747.75,409566.08,418385.42,427167.25,435870.36,444464.19,452921.65,461239.75,469443.09,477572.45,485655.31,493703.99,501702,509614.78,517393.8,525007.93,532449.61,539741.95,546923.13,554046.67,561156.08,568252.83,575338.11,582452.89,589646.23,596947.25,604376.84,611910.59,619474.44,626965.24,634305.7,641466.64,648459.75,655298.44,662011.85,668619.85
Brunei Darussalam,,96,Country/Area,920,48.01,50.93,53.89,56.92,60.06,63.37,66.81,70.39,74.1,77.88,81.71,85.56,89.48,93.54,97.82,102.39,107.27,112.45,117.9,123.6,129.53,135.67,142.02,148.52,155.07,161.64,168.17,174.72,181.2,187.6,193.88,200.03,206.06,212.07,218.18,224.44,230.92,237.57,244.41,251.46,258.71,266.21,273.89,281.68,289.45,297.11,304.62,311.96,319.14,326.21,333.17,340.04,346.78,353.3,359.43,365.11,370.26,374.97,379.42,383.9,388.63,393.69,399,404.41,409.78,414.91,419.79,424.48,428.96,433.3,437.48
Cambodia,,116,Country/Area,920,4432.72,4537.66,4656.43,4783.2,4913.75,5045.28,5176.64,5308.13,5441.32,5578.7,5722.37,5872.97,6028.43,6183.59,6331.44,6467.19,6585.03,6685.96,6779.78,6880.62,6996.58,7139.64,7302.11,7449.23,7533.33,7524.46,7404.69,7196.04,6957.27,6770.39,6693.76,6749.85,6919.8,7170,7447.84,7714.89,7960.95,8198.08,8435.91,8691.33,8975.6,9289.3,9623.9,9970.73,10317.9,10656.15,10982.92,11298.59,11600.51,11886.46,12155.24,12405.41,12637.72,12856.17,13066.48,13273.36,13477.71,13679.95,13883.84,14093.61,14312.21,14541.42,14780.45,15026.33,15274.51,15521.44,15766.29,16009.41,16249.8,16486.54,16718.97
Indonesia,,360,Country/Area,920,69543.32,70849.44,72274.63,73820.84,75487.89,77273.43,79172.8,81179.21,83284.05,85477.63,87751.07,90098.4,92518.37,95015.3,97596.73,100267.07,103025.42,105865.58,108779.93,111758.57,114793.18,117880.15,121017.32,124199.69,127422.2,130680.73,133966.94,137278.06,140621.73,144009.84,147447.83,150938.22,154468.24,158009.25,161523.35,164982.45,168374.29,171702.76,174975.95,178209.15,181413.4,184591.9,187739.79,190851.18,193917.46,196934.26,199901.23,202826.44,205724.6,208615.17,211513.82,214427.42,217357.79,220309.47,223285.67,226289.47,229318.26,232374.24,235469.76,238620.55,241834.23,245115.99,248451.71,251805.31,255128.08,258383.26,261556.39,264650.97,267670.55,270625.57,273523.62
Lao People's Democratic Republic,,418,Country/Area,920,1682.92,1723.22,1764.04,1805.54,1847.79,1890.85,1934.82,1979.73,2025.67,2072.71,2120.89,2170.34,2221.12,2273.35,2327.14,2382.59,2439.2,2496.93,2556.85,2620.45,2688.43,2762.26,2840.84,2919.29,2990.96,3051.58,3098.96,3135.84,3168.84,3207.33,3258.15,3323.35,3401.19,3489.91,3586.32,3687.89,3794.2,3905.53,4020.82,4138.85,4258.47,4379.23,4500.35,4619.95,4735.84,4846.48,4951.19,5050.31,5144.6,5235.34,5323.7,5409.58,5493.25,5576.64,5662.2,5751.68,5846.08,5944.95,6046.63,6148.62,6249.17,6347.56,6444.53,6541.3,6639.76,6741.16,6845.85,6953.03,7061.5,7169.46,7275.56
Malaysia,13,458,Country/Area,920,6109.9,6271.23,6449.61,6639.42,6836.64,7038.91,7245.68,7458.02,7678.38,7910.19,8156.34,8417.82,8692.34,8973.79,9253.83,9526.56,9790.08,10046.32,10297.98,10549.4,10804.13,11062.43,11324.28,11592.64,11871.1,12162.19,12468.69,12790.31,13122.83,13460.04,13798.09,14134.06,14471.22,14819.43,15192.3,15598.92,16043.74,16522,17022.47,17528.96,18029.82,18519.94,19002.66,19484.9,19977.51,20487.6,21017.62,21562.79,22114.65,22661.29,23194.25,23709.12,24208.39,24698.82,25190.65,25690.62,26201.95,26720.37,27236,27735.04,28208.03,28650.96,29068.19,29468.92,29866.61,30270.97,30684.65,31104.66,31528.03,31949.79,32366
Myanmar,,104,Country/Area,920,17779.64,18103.97,18440.68,18792.74,19162.19,19550.07,19956.4,20380.22,20819.75,21272.68,21736.95,22211.63,22697.66,23198.24,23717.79,24259.36,24823.94,25410.05,26015.24,26635.85,27269.06,27913.75,28570.09,29238.17,29918.47,30611.09,31314.35,32026.75,32748.78,33481.4,34224.32,34976.47,35734.27,36491.8,37241.53,37977.09,38698.48,39404.35,40085.65,40731.44,41335.19,41890.19,42401.69,42889.99,43383.42,43901.6,44452.2,45027.22,45611.22,46181.08,46719.7,47225.12,47702.16,48148.91,48564.49,48949.93,49301.05,49621.48,49929.64,50250.37,50600.83,50990.61,51413.7,51852.46,52280.82,52680.72,53045.2,53382.52,53708.32,54045.42,54409.79
Philippines,,608,Country/Area,920,18580.48,19246.6,19945.27,20669.61,21414.58,22177.06,22955.91,23751.87,24567.27,25405.53,26269.74,27161.05,28077.35,29012.63,29958.69,30910,31864.18,32823.97,33795.2,34786.31,35803.59,36849.68,37923.4,39022.76,40144.25,41285.74,42446.66,43629.42,44838.49,46079.84,47357.74,48672.83,50023.56,51408.91,52827.05,54275.84,55755.35,57263.84,58795,60340.77,61895.17,63454.79,65020.12,66593.9,68180.85,69784.09,71401.74,73030.88,74672.01,76325.93,77991.76,79672.87,81365.26,83051.97,84710.54,86326.25,87888.68,89405.48,90901.97,92414.16,93966.78,95570.05,97212.64,98871.56,100513.14,102113.21,103663.81,105172.92,106651.39,108116.62,109581.09
Singapore,,702,Country/Area,920,1022.1,1067.8,1119.93,1177.58,1239.69,1305.1,1372.52,1440.49,1507.54,1572.17,1633.13,1689.6,1741.46,1789.37,1834.52,1877.83,1919.27,1958.74,1996.87,2034.51,2072.28,2110.96,2150.5,2189.61,2226.38,2259.72,2288.86,2314.99,2341.4,2372.59,2411.69,2460.5,2517.98,2580.92,2644.5,2705.54,2762.44,2816.97,2873.28,2937.28,3012.97,3101.14,3199.64,3305.8,3415.7,3525.96,3638.18,3752.13,3860.72,3954.74,4028.87,4077.15,4104.41,4129.23,4177.2,4265.69,4402.32,4578.63,4775.81,4966.61,5131.17,5263.64,5369.47,5453.73,5525.63,5592.14,5653.63,5708.04,5757.5,5804.34,5850.34
Thailand,,764,Country/Area,920,20710.35,21263.46,21838.3,22436.8,23060.6,23711.12,24389.55,25096.8,25833.57,26600.32,27397.21,28224.19,29080.95,29966.87,30881.14,31822.66,32789.13,33778.8,34791.42,35827.09,36884.53,37963.28,39058.59,40159.58,41252.32,42326.31,43377.27,44405.9,45413.08,46401.75,47374.46,48326.27,49255.89,50173.92,51094.87,52026.9,52980.11,53945.87,54891.52,55772.17,56558.2,57232.47,57811.03,58337.77,58875.28,59467.27,60130.19,60846.59,61585.1,62298.57,62952.64,63539.19,64069.09,64549.87,64995.3,65416.19,65812.54,66182.06,66530.98,66866.83,67195.03,67518.38,67835.97,68144.52,68438.75,68714.52,68971.31,69209.82,69428.45,69625.58,69799.98
Timor-Leste,,626,Country/Area,920,414.75,418.68,423.12,428.05,433.42,439.22,445.44,452.08,459.15,466.62,474.54,482.85,491.58,500.65,510.04,519.68,529.33,538.91,548.82,559.62,571.57,585.25,600.19,614.26,624.56,629.23,627.26,619.82,610.05,602.36,599.91,603.84,613.23,626.68,641.85,657.06,671.75,686.48,701.81,718.74,737.81,759.53,783.2,806.87,827.83,844.33,855.36,861.87,866.52,873.14,884.37,901.21,922.7,947.11,971.89,995.13,1016.44,1036.39,1055.43,1074.29,1093.52,1113.15,1133,1153.29,1174.33,1196.29,1219.29,1243.26,1267.98,1293.12,1318.44
Viet Nam,,704,Country/Area,920,24809.91,25364.52,25976.85,26646.08,27370.47,28147.44,28973.44,29844.05,30754.09,31697.9,32670.05,33666.11,34683.41,35721.21,36780,37858.95,38958.05,40072.95,41193.59,42307.15,43404.8,44484.03,45548.48,46603.52,47657.55,48718.19,49785.28,50861.17,51959.02,53095.41,54281.84,55522.8,56814.31,58148.38,59512.62,60896.73,62293.86,63701.97,65120.43,66550.23,67988.86,69436.96,70883.49,72300.31,73651.22,74910.46,76068.74,77133.21,78115.71,79035.87,79910.41,80742.5,81534.41,82301.65,83062.82,83832.66,84617.55,85419.59,86243.42,87092.25,87967.66,88871.38,89801.93,90752.59,91713.85,92677.08,93640.44,94600.64,95545.96,96462.11,97338.58
LATIN AMERICA AND THE CARIBBEAN,,1830,SDG region,1828,168820.52,173280.49,177915.93,182708.88,187647.75,192727.23,197948.66,203319.93,208853.82,214566.1,220469.72,226567.97,232848.86,239282.57,245828.55,252455.93,259154.15,265925.62,272768.31,279684.29,286675.71,293738.01,300869.45,308078.65,315378.19,322777.15,330272.37,337860.35,345548.26,353344.98,361253.18,369274.51,377395.87,385586.59,393806.37,402023.66,410223.4,418404.11,426564.86,434709.75,442840.08,450946.52,459018.54,467054.73,475055.72,483018.23,490944.03,498821.72,506620.74,514301.36,521836.32,529213.16,536441.58,543544.13,550555.24,557500.98,564384.72,571201.89,577962.67,584677.53,591352.35,597994.7,604599.46,611143.94,617596.48,623934.13,630144.54,636233.13,642216.71,648120.96,653962.33
Caribbean,,915,Subregion,1830,17079.83,17381.54,17706.56,18046.16,18394.29,18747.72,19106.13,19472.04,19850.2,20246.85,20667.48,21114.09,21582.99,22064,22542.96,23009.85,23459.85,23895.94,24324.95,24757.63,25201.32,25658.34,26124.94,26595.06,27060.02,27513.67,27954.31,28384.5,28806.94,29226.13,29645.56,30065.06,30484.4,30906.73,31336.14,31775.15,32225.35,32684.87,33148.32,33607.98,34058.2,34496.47,34923.91,35342.11,35754.23,36162.18,36566.53,36965.45,37356.53,37736.2,38102.08,38453.51,38791.51,39117.91,39435.33,39745.8,40048.88,40344.28,40635.19,40925.44,41217.34,41514.62,41815.18,42108.68,42380.8,42622.28,42827.51,43002.43,43163.83,43335.01,43532.37
Anguilla,14,660,Country/Area,915,5.12,5.32,5.48,5.6,5.71,5.78,5.85,5.9,5.94,5.99,6.02,6.09,6.14,6.21,6.28,6.36,6.43,6.52,6.61,6.69,6.77,6.85,6.95,7.02,7.1,7.16,7.2,7.25,7.29,7.3,7.28,7.25,7.19,7.15,7.18,7.29,7.51,7.84,8.22,8.58,8.89,9.14,9.33,9.49,9.66,9.87,10.12,10.39,10.68,10.98,11.25,11.52,11.76,11.99,12.23,12.44,12.66,12.86,13.06,13.25,13.44,13.61,13.79,13.95,14.11,14.28,14.44,14.59,14.74,14.87,15
Antigua and Barbuda,,28,Country/Area,915,45.52,46.54,47.39,48.14,48.88,49.65,50.46,51.36,52.28,53.21,54.13,55.01,55.85,56.7,57.64,58.7,59.91,61.24,62.52,63.55,64.18,64.35,64.13,63.65,63.11,62.67,62.35,62.16,62.04,61.95,61.86,61.79,61.78,61.78,61.78,61.79,61.75,61.71,61.76,62.01,62.53,63.36,64.46,65.78,67.2,68.67,70.18,71.71,73.22,74.67,76.01,77.21,78.3,79.31,80.35,81.46,82.72,84.03,85.39,86.74,88.03,89.25,90.41,91.51,92.56,93.57,94.52,95.43,96.28,97.12,97.93
